T_inlet,T_initial,V_initial,Time_step,Temperature
300,293,0.04,1560,293.362
300,293,0.04,1620,293.41
300,293,0.04,1680,293.458
300,293,0.04,1740,293.508
300,293,0.04,1800,293.553
300,293,0.04,1860,293.602
300,293,0.04,1920,293.649
300,293,0.04,1980,293.685
300,293,0.04,2040,293.74
300,293,0.04,2100,293.788
300,293,0.04,2160,293.826
300,293,0.04,2220,293.877
300,293,0.04,2280,293.916
300,293,0.04,2340,293.956
300,293,0.04,2400,294.007
300,293,0.04,2460,294.056
300,293,0.04,2520,294.101
300,293,0.045,60,293
300,293,0.045,120,293
300,293,0.045,180,293
300,293,0.045,240,293
300,293,0.045,300,293
300,293,0.045,360,293
300,293,0.045,420,293
300,293,0.045,480,293
300,293,0.045,540,293
300,293,0.045,600,293
300,293,0.045,660,293
300,293,0.045,720,293
300,293,0.045,780,293.001
300,293,0.045,840,293.003
300,293,0.045,900,293.009
300,293,0.045,960,293.022
300,293,0.045,1020,293.042
300,293,0.045,1080,293.071
300,293,0.045,1140,293.107
300,293,0.045,1200,293.148
300,293,0.045,1260,293.193
300,293,0.045,1320,293.242
300,293,0.045,1380,293.292
300,293,0.045,1440,293.344
300,293,0.045,1500,293.397
300,293,0.045,1560,293.45
300,293,0.045,1620,293.504
300,293,0.045,1680,293.56
300,293,0.045,1740,293.604
300,293,0.045,1800,293.668
300,293,0.045,1860,293.711
300,293,0.045,1920,293.768
300,293,0.045,1980,293.82
300,293,0.045,2040,293.885
300,293,0.045,2100,293.933
300,293,0.045,2160,293.983
300,293,0.045,2220,294.022
300,293,0.045,2280,294.071
300,293,0.045,2340,294.124
300,293,0.045,2400,294.184
300,293,0.045,2460,294.234
300,293,0.045,2520,294.242
300,293,0.05,60,293
300,293,0.05,120,293
300,293,0.05,180,293
300,293,0.05,240,293
300,293,0.05,300,293
300,293,0.05,360,293
300,293,0.05,420,293
300,293,0.05,480,293
300,293,0.05,540,293
300,293,0.05,600,293
300,293,0.05,660,293
300,293,0.05,720,293
300,293,0.05,780,293.001
300,293,0.05,840,293.006
300,293,0.05,900,293.017
300,293,0.05,960,293.037
300,293,0.05,1020,293.066
300,293,0.05,1080,293.104
300,293,0.05,1140,293.148
300,293,0.05,1200,293.198
300,293,0.05,1260,293.252
300,293,0.05,1320,293.308
300,293,0.05,1380,293.367
300,293,0.05,1440,293.429
300,293,0.05,1500,293.491
300,293,0.05,1560,293.551
300,293,0.05,1620,293.61
300,293,0.05,1680,293.659
300,293,0.05,1740,293.721
300,293,0.05,1800,293.767
300,293,0.05,1860,293.812
300,293,0.05,1920,293.894
300,293,0.05,1980,293.96
300,293,0.05,2040,294.011
300,293,0.05,2100,294.07
300,293,0.05,2160,294.119
300,293,0.05,2220,294.161
300,293,0.05,2280,294.205
300,293,0.05,2340,294.274
300,293,0.05,2400,294.338
300,293,0.05,2460,294.409
300,293,0.05,2520,294.458
300,293,0.055,60,293
300,293,0.055,120,293
300,293,0.055,180,293
300,293,0.055,240,293
300,293,0.055,300,293
300,293,0.055,360,293
300,293,0.055,420,293
300,293,0.055,480,293
300,293,0.055,540,293
300,293,0.055,600,293
300,293,0.055,660,293
300,293,0.055,720,293.001
300,293,0.055,780,293.003
300,293,0.055,840,293.012
300,293,0.055,900,293.029
300,293,0.055,960,293.057
300,293,0.055,1020,293.096
300,293,0.055,1080,293.144
300,293,0.055,1140,293.199
300,293,0.055,1200,293.257
300,293,0.055,1260,293.32
300,293,0.055,1320,293.385
300,293,0.055,1380,293.457
300,293,0.055,1440,293.518
300,293,0.055,1500,293.587
300,293,0.055,1560,293.656
300,293,0.055,1620,293.712
300,293,0.055,1680,293.779
300,293,0.055,1740,293.848
300,293,0.055,1800,293.885
300,293,0.055,1860,293.938
300,293,0.055,1920,294.028
300,293,0.055,1980,294.081
300,293,0.055,2040,294.112
300,293,0.055,2100,294.187
300,293,0.055,2160,294.234
300,293,0.055,2220,294.325
300,293,0.055,2280,294.401
300,293,0.055,2340,294.505
300,293,0.055,2400,294.546
300,293,0.055,2460,294.644
300,293,0.055,2520,294.623
300,293,0.06,60,293
300,293,0.06,120,293
300,293,0.06,180,293
300,293,0.06,240,293
300,293,0.06,300,293
300,293,0.06,360,293
300,293,0.06,420,293
300,293,0.06,480,293
300,293,0.06,540,293
300,293,0.06,600,293
300,293,0.06,660,293
300,293,0.06,720,293.001
300,293,0.06,780,293.007
300,293,0.06,840,293.02
300,293,0.06,900,293.047
300,293,0.06,960,293.086
300,293,0.06,1020,293.135
300,293,0.06,1080,293.193
300,293,0.06,1140,293.258
300,293,0.06,1200,293.327
300,293,0.06,1260,293.402
300,293,0.06,1320,293.474
300,293,0.06,1380,293.549
300,293,0.06,1440,293.615
300,293,0.06,1500,293.685
300,293,0.06,1560,293.752
300,293,0.06,1620,293.838
300,293,0.06,1680,293.891
300,293,0.06,1740,293.933
300,293,0.06,1800,294.018
300,293,0.06,1860,294.099
300,293,0.06,1920,294.147
300,293,0.06,1980,294.219
300,293,0.06,2040,294.253
300,293,0.06,2100,294.348
300,293,0.06,2160,294.447
300,293,0.06,2220,294.518
300,293,0.06,2280,294.566
300,293,0.06,2340,294.655
300,293,0.06,2400,294.713
300,293,0.06,2460,294.769
300,293,0.06,2520,294.874
300,294,0.04,60,294
300,294,0.04,120,294
300,294,0.04,180,294
300,294,0.04,240,294
300,294,0.04,300,294
300,294,0.04,360,294
300,294,0.04,420,294
300,294,0.04,480,294
300,294,0.04,540,294
300,294,0.04,600,294
300,294,0.04,660,294
300,294,0.04,720,294
300,294,0.04,780,294
300,294,0.04,840,294
300,294,0.04,900,294.001
300,294,0.04,960,294.003
300,294,0.04,1020,294.008
300,294,0.04,1080,294.017
300,294,0.04,1140,294.031
300,294,0.04,1200,294.05
300,294,0.04,1260,294.074
300,294,0.04,1320,294.102
300,294,0.04,1380,294.133
300,294,0.04,1440,294.168
300,294,0.04,1500,294.206
300,294,0.04,1560,294.244
300,294,0.04,1620,294.287
300,294,0.04,1680,294.33
300,294,0.04,1740,294.374
300,294,0.04,1800,294.419
300,294,0.04,1860,294.465
300,294,0.04,1920,294.513
300,294,0.04,1980,294.559
300,294,0.04,2040,294.606
300,294,0.04,2100,294.652
300,294,0.04,2160,294.699
300,294,0.04,2220,294.745
300,294,0.04,2280,294.791
300,294,0.04,2340,294.837
300,294,0.04,2400,294.882
300,294,0.04,2460,294.928
300,294,0.04,2520,294.973
300,294,0.045,60,294
300,294,0.045,120,294
300,294,0.045,180,294
300,294,0.045,240,294
300,294,0.045,300,294
300,294,0.045,360,294
300,294,0.045,420,294
300,294,0.045,480,294
300,294,0.045,540,294
300,294,0.045,600,294
300,294,0.045,660,294
300,294,0.045,720,294
300,294,0.045,780,294
300,294,0.045,840,294.001
300,294,0.045,900,294.002
300,294,0.045,960,294.006
300,294,0.045,1020,294.016
300,294,0.045,1080,294.031
300,294,0.045,1140,294.053
300,294,0.045,1200,294.081
300,294,0.045,1260,294.112
300,294,0.045,1320,294.15
300,294,0.045,1380,294.191
300,294,0.045,1440,294.234
300,294,0.045,1500,294.281
300,294,0.045,1560,294.33
300,294,0.045,1620,294.38
300,294,0.045,1680,294.431
300,294,0.045,1740,294.483
300,294,0.045,1800,294.536
300,294,0.045,1860,294.589
300,294,0.045,1920,294.642
300,294,0.045,1980,294.694
300,294,0.045,2040,294.747
300,294,0.045,2100,294.798
300,294,0.045,2160,294.85
300,294,0.045,2220,294.901
300,294,0.045,2280,294.953
300,294,0.045,2340,295.004
